IATA,Lat,Lon,Country,Continent
AAA,-17.3526001,-145.5099945,French Polynesia,Oceania
AAC,31.07329941,33.83580017,Egypt,Africa
AAE,36.822201,7.8091740000000005,Algeria,Africa
AAF,29.72750092,-85.02749634,United States,North America
AAH,50.82305527,6.186388968999999,Germany,Europe
AAK,0.185277998,173.63699340000002,Kiribati,Oceania
AAL,57.09275891,9.849243163999999,Denmark,Europe
AAM,-24.81809998,31.54459953,South Africa,Africa
AAN,24.26169968,55.60919952,United Arab Emirates,Asia
AAO,9.430225372,-64.47072601,Venezuela,South America
AAP,29.72249985,-95.58830261,United States,North America
AAQ,45.0021019,37.34730148,Russia,Europe
AAR,56.29999924,10.61900043,Denmark,Europe
AAT,47.74988556,88.0858078,China,Asia
AAV,6.366819859,124.7509995,Philippines,Asia
AAX,-19.5632,-46.96039963,Brazil,South America
AAY,16.19169998,52.17499924,Yemen,Asia
AAZ,14.8656,-91.501999,Guatemala,North America
ABA,53.74000168,91.38500214,Russia,Europe
ABB,6.204167,6.665278,Nigeria,Africa
ABC,38.94850159,-1.863520026,Spain,Europe
ABD,30.37109947,48.22829819,Iran,Asia
ABE,40.65209961,-75.44080353,United States,North America
ABF,1.798609972,173.0410004,Kiribati,Oceania
ABH,-23.646099,146.584,Australia,Oceania
ABI,32.41130066,-99.68190002,United States,North America
ABJ,5.261390209,-3.926290035,Cote d'Ivoire,Africa
ABK,6.734,44.252998,Ethiopia,Africa
ABL,67.1063,-157.856989,United States,North America
ABM,-10.9508,142.459,Australia,Oceania
ABN,5.512720108,-54.05009842,Suriname,South America
ABQ,35.040199,-106.609001,United States,North America
ABR,45.44910049,-98.42179871,United States,North America
ABS,22.37599945,31.61170006,Egypt,Africa
ABT,20.29610062,41.63430023,Saudi Arabia,Asia
ABV,9.006790161,7.263169765,Nigeria,Africa
ABX,-36.06779861,146.9579926,Australia,Oceania
ABY,31.53549957,-84.19450378,United States,North America
ABZ,57.20190048,-2.197779894,United Kingdom,Europe
ACA,16.75709915,-99.7539978,Mexico,North America
ACC,5.6051898,-0.166786,Ghana,Africa
ACD,8.51667,-77.3,Colombia,South America
ACE,28.945498999999998,-13.6052,Spain,Europe
ACF,-27.57029915,153.0079956,Australia,Oceania
ACH,47.48500061,9.560770035,Switzerland,Europe
ACI,49.706103999999996,-2.2147200000000002,Guernsey,Europe
ACJ,8.30148983,80.42790222,Sri Lanka,Asia
ACK,41.25310135,-70.06020355,United States,North America
ACN,29.332898999999998,-101.098998,Mexico,North America
ACP,37.34799957,46.12789917,Iran,Asia
ACR,-0.5833,-72.4083,Colombia,South America
ACS,56.26829910000001,90.57080078,Russia,Europe
ACT,31.61129951,-97.23049927,United States,North America
ACV,40.978101,-124.109,United States,North America
ACX,25.08638889,104.95944440000001,China,Asia
ACY,39.45759964,-74.57720184,United States,North America
ACZ,31.09830093,61.54389954,Iran,Asia
ADA,36.98220062,35.28039932,Turkey,Asia
ADB,38.29240036,27.15699959,Turkey,Asia
ADD,8.977890015,38.79930115,Ethiopia,Africa
ADE,12.8295002,45.02880096,Yemen,Asia
ADF,37.73139954,38.46889877,Turkey,Asia
ADH,58.60279846,125.4089966,Russia,Europe
ADI,-22.46220016,14.97999954,Namibia,Africa
ADJ,31.97270012,35.99160004,Jordan,Asia
ADK,51.87799835,-176.6459961,United States,North America
ADL,-34.945,138.53100600000002,Australia,Oceania
ADM,34.30301,-97.01963420000001,United States,North America
ADP,7.33776,81.62594,Sri Lanka,Asia
ADQ,57.75,-152.4940033,United States,North America
ADS,32.96860123,-96.83640289,United States,North America
ADT,34.804297999999996,-96.67130300000001,United States,North America
ADU,38.32569885,48.42440033,Iran,Asia
ADW,38.810798999999996,-76.866997,United States,North America
ADX,56.3728981,-2.868439913,United Kingdom,Europe
ADY,-22.67900085,29.05550003,South Africa,Africa
ADZ,12.5836,-81.7112,Colombia,South America
AEA,0.490833014,173.8289948,Kiribati,Oceania
AEB,23.72060013,106.95999909999999,China,Asia
AEG,1.4001,99.43049599999999,Indonesia,Asia
AEH,13.84700012,20.84429932,Chad,Africa
AEI,36.12888,-5.441118,Spain,Europe
AEO,16.7112999,-9.637880325,Mauritania,Africa
AEP,-34.5592,-58.4156,Argentina,South America
AER,43.449902,39.9566,Russia,Europe
AES,62.5625,6.119699955,Norway,Europe
AET,66.55180359,-152.621994,United States,North America
AEU,25.8757,55.033001,Iran,Asia
AEX,31.32740021,-92.54979706,United States,North America
AEY,65.66000366,-18.0727005,Iceland,Europe
AFA,-34.588299,-68.4039,Argentina,South America
AFL,-9.866389275,-56.10499954,Brazil,South America
AFS,41.61389923,64.23320007,Uzbekistan,Asia
AFT,-9.191388889,160.9486111,Solomon Islands,Oceania
AFW,32.98759842,-97.31880188,United States,North America
AFY,38.72639847,30.60110092,Turkey,Asia
AFZ,36.16809845,57.59519958,Iran,Asia
AGA,30.32500076,-9.413069725,Morocco,Africa
AGB,48.425278000000006,10.931667,Germany,Europe
AGC,40.35440063,-79.93019867,United States,North America
AGE,53.78277969,7.913888931000001,Germany,Europe
AGF,44.17470169,0.590556026,France,Europe
AGH,56.29610062,12.84710026,Sweden,Europe
AGI,5.841128,-56.673328000000005,Suriname,South America
AGJ,26.59250069,127.2409973,Japan,Asia
AGN,57.503601,-134.58500700000002,United States,North America
AGP,36.67490005,-4.499110222,Spain,Europe
AGQ,38.602001,21.351200100000003,Greece,Europe
AGR,27.15579987,77.96089935,India,Asia
AGS,33.36989975,-81.96450043,United States,North America
AGT,-25.454516,-54.842681999999996,Paraguay,South America
AGU,21.705601,-102.318001,Mexico,North America
AGV,9.553375244,-69.23786926,Venezuela,South America
AGX,10.82369995,72.1760025,India,Asia
AGZ,-29.28179932,18.81389999,South Africa,Africa
AHB,18.24040031,42.65660095,Saudi Arabia,Asia
AHE,-14.42809963,-146.2570038,French Polynesia,Oceania
AHJ,32.53154,102.35224000000001,China,Asia
AHN,33.94860077,-83.32630157,United States,North America
AHO,40.632099,8.29077,Italy,Europe
AHS,15.4722,-84.352203,Honduras,North America
AHU,35.17710114,-3.8395199780000002,Morocco,Africa
AIA,42.05319977,-102.8040009,United States,North America
AID,40.10860062,-85.61299896,United States,North America
AIK,33.649399,-81.684998,United States,North America
AIN,70.63800049,-159.99499509999998,United States,North America
AIP,31.4338,75.758797,India,Asia
AIR,-10.188278,-59.457273,Brazil,South America
AIS,-2.616110086,176.8029938,Kiribati,Oceania
AIT,-18.83090019,-159.76400759999999,Cook Islands,Oceania
AIU,-19.96780014,-158.1190033,Cook Islands,Oceania
AIZ,38.09600067,-92.54949951,United States,North America
AJA,41.92359924,8.802920341,France,Europe
AJF,29.78510094,40.09999847,Saudi Arabia,Asia
AJI,39.65454102,43.02597809,Turkey,Asia
AJK,34.13809967,49.84730148,Iran,Asia
AJL,23.84059906,92.61969757,India,Asia
AJN,-12.13169956,44.43030167,Comoros,Africa
AJR,65.59030151,19.28190041,Sweden,Europe
AJU,-10.98400021,-37.07030106,Brazil,South America
AJY,16.9659996,8.000109672999999,Niger,Africa
AKA,32.708099,108.931,China,Asia
AKB,52.22029877,-174.2059937,United States,North America
AKC,41.03749847,-81.46690369,United States,North America
AKD,20.698999,77.058601,India,Asia
AKF,24.17869949,23.31399918,Libya,Africa
AKH,24.06270027,47.58050156,Saudi Arabia,Asia
AKI,60.9029007,-161.23100280000003,United States,North America
AKJ,43.67079926,142.4470062,Japan,Asia
AKK,56.93870163,-154.18299869999998,United States,North America
AKL,-37.008098600000004,174.7920074,New Zealand,Oceania
AKN,58.67679977,-156.6490021,United States,North America
AKO,40.17559814,-103.22200009999999,United States,North America
AKP,68.13359833,-151.7429962,United States,North America
AKR,7.246739863999999,5.301010132,Nigeria,Africa
AKS,-8.70257,160.682007,Solomon Islands,Oceania
AKT,34.590401,32.9879,Cyprus,Asia
AKU,41.262501,80.291702,China,Asia
AKV,60.8185997,-78.14859772,Canada,North America
AKW,30.7444,49.6772,Iran,Asia
AKX,50.2458,57.206699,Kazakhstan,Asia
AKY,20.13269997,92.87259674,Myanmar,Asia
ALA,43.35210037,77.04049683,Kazakhstan,Asia
ALB,42.74829865,-73.80169678,United States,North America
ALC,38.28219986,-0.558156013,Spain,Europe
ALE,30.38419914,-103.6839981,United States,North America
ALF,69.97609711,23.37170029,Norway,Europe
ALG,36.69100189,3.215409994,Algeria,Africa
ALH,-34.94329834,117.8089981,Australia,Oceania
ALI,27.74090004,-98.02690125,United States,North America
ALJ,-28.575001,16.5333,South Africa,Africa
